global_id,id,rule,country/source,cultural_cluster,scope,safety_level,norm_type,affected_group
29,2,One must acknowledge a driver who yields the right of way by waving a hand; failing to do so is considered disrespectful.,Australia,Western Europe,Specific,Low,Custom,General
30,3,"It is customary that swearing is used casually and may be accepted even in public workplace settings, which can be perceived as rude by visitors from other cultures.",Australia,Western Europe,Specific,Moderate,Custom,Tourists
31,1,It is customary to bring a small symbolic gift when visiting someone’s home.,Bosnia and Herzegovina,Eastern Europe,Specific,Low,Custom,General
32,2,"One should accept offered coffee unless there is a health reason, because refusing coffee can be interpreted as rejecting social connection.",Bosnia and Herzegovina,Eastern Europe,Specific,Low,Custom,General
33,3,It is customary to show respect to elders through formal address and by standing when an elder enters.,Bosnia and Herzegovina,Eastern Europe,Specific,Low,Custom,Age_Group
34,4,"It is common practice among friends to compete to pay the bill rather than split it, and a person who does not try may be seen as stingy.",Bosnia and Herzegovina,Eastern Europe,Specific,Low,Custom,General
35,5,"One must stop knocking after three unanswered knocks, because continuing to knock is considered annoying.",Bosnia and Herzegovina,Eastern Europe,Specific,Low,Custom,General
36,1,One must dress formally for work or social events to gain recognition.,Brazil,Latin America,Specific,Low,Custom,General
37,2,It is customary for women to wear brightly colored dresses.,Brazil,Latin America,Specific,Low,Custom,Gender
38,3,One must not use the 'OK' hand gesture as it is considered very impolite.,Brazil,Latin America,Specific,Low,Custom,General
39,4,One must avoid giving handkerchiefs or knives as gifts.,Brazil,Latin America,Specific,Low,Custom,General
40,5,"One must avoid using purple, yellow, or dark brown when giving gifts.",Brazil,Latin America,Specific,Low,Custom,General
41,6,It is customary to greet with hugs or kisses in social settings.,Brazil,Latin America,Specific,Moderate,Custom,General
42,8,It is customary to engage in small talk before discussing serious topics in business meetings.,Brazil,Latin America,Specific,Moderate,Custom,General
43,9,One must not discuss local ethnic jokes or political issues.,Brazil,Latin America,Specific,Moderate,Social_Norm,General
44,11,It is customary to use a napkin when eating with hands.,Brazil,Latin America,Specific,Low,Custom,General
45,12,One must not use the number '13' as it is considered unlucky.,Brazil,Latin America,Specific,Low,Custom,General
46,13,It is customary to celebrate Carnival with parades and dances.,Brazil,Latin America,Specific,Low,Custom,General
47,15,It is customary to celebrate Christmas with family gatherings and gift exchanges.,Brazil,Latin America,Specific,Low,Custom,General
48,16,It is customary to celebrate New Year's Eve with symbolic fruit gathering.,Brazil,Latin America,Specific,Low,Custom,General
49,17,It is customary to visit and clean the graves of deceased relatives on All Souls' Day.,Brazil,Latin America,Specific,Low,Custom,General
50,18,It is customary to celebrate the Yemanja Festival by offering flowers to the sea goddess.,Brazil,Latin America,Specific,Low,Custom,General
51,19,It is customary to celebrate the Quilombo Festival with Capoeira dance.,Brazil,Latin America,Specific,Low,Custom,General
52,20,It is customary to celebrate the Bumba Meu Boi festival with performances about the death and resurrection of a bull.,Brazil,Latin America,Specific,Low,Custom,General
53,21,It is customary to celebrate the Cirio de Nazare with candlelit processions.,Brazil,Latin America,Specific,Low,Custom,General
54,22,Overlooking the importance of Quilombo movements and their contributions to the fight for social justice and racial equality in discussions about national development.,Brazil,Latin America,Specific,Moderate,Social_Norm,General
55,23,"The ""Quilombo"" movements, which are social and political organizations that trace their origins back to communities formed by escaped slaves, represent a significant force in Afro-Brazilian culture and politics. These movements advocate for racial equality, land rights, and the preservation of Afro-Brazilian culture and history. The term ""quilombo"" is often used to signify resistance and the fight for social justice among Afro-Brazilians.",Brazil,Latin America,Specific,Moderate,Social_Norm,Ethnic_Group
56,25,"Performing Capoeira moves without understanding or respecting its deep connection to Candomblé and its cultural and spiritual significance in Bahia, Brazil.",Brazil,Latin America,Specific,Low,Custom,General
57,26,"In the state of Bahia, Capoeira is deeply intertwined with Candomblé, an Afro-Brazilian religion. This variation often includes rituals and music that are specific to the religious context, emphasizing the spiritual connection and the African roots of the practice.",Brazil,Latin America,Specific,Moderate,Religious,General
58,27,Participants in the Cavalhadas traditionally choose to represent one side—either Moors or Christians—and wearing a costume that blends elements from both sides disrupts the intended historical and cultural representation of the mock battle.,Brazil,Latin America,Specific,Low,Custom,General
59,28,"If you are offered a complimentary cup of cafézinho (black coffee), accept it unless you have a good reason to refuse. In Brazil, coffee is a symbol of hospitality and is widely consumed. Likewise, offer cafezinho to anyone who visits your home if it is possible.",Brazil,Latin America,Specific,Low,Custom,General
60,29,Purple lipstick color is avoided because it is related to funerals. But the color purple (not for flowers) is well accepted and common for both clothing and accessories.,Brazil,Latin America,Specific,Low,Custom,General
61,30,Do not give anything that is very expensive. Your generosity will only cause embarrassment or be misinterpreted as a bribe.,Brazil,Latin America,Specific,Moderate,Custom,General
62,31,"It is customary to ask for a blessing from one’s parents and grandparents, and sometimes even older relatives, as a sign of respect and age-based hierarchy.",Brazil,Latin America,Specific,Low,Custom,General
63,32,"One must not whisper in front of other people, as it can be viewed as disrespectful and may trigger social disapproval or reprimand.",Brazil,Latin America,Specific,Low,Social_Norm,General
64,33,"It is customary to address a lawyer as ""doctor"" as an honorific, even if the lawyer does not hold a doctoral degree.",Brazil,Latin America,Specific,Low,Custom,General
65,34,"One must not wipe the shared straw or alter the traditional way of drinking chimarrão, as it can signal distrust or disrespect toward the ritual’s communal and equal nature.",Brazil,Latin America,Specific,Low,Custom,General
66,35,"It is customary to share chimarrão as a communal ritual by passing a single gourd and metal straw around a group, symbolizing friendship, hospitality, social bonds, and equality.",Brazil,Latin America,Specific,Low,Custom,General
67,37,"It is customary to finish the food one takes, and one should avoid taking more than one can eat or leaving food unfinished on the plate, as it is considered impolite.",Brazil,Latin America,Specific,Low,Custom,General
68,38,"It is customary to avoid boasting about Argentina, as it may be sensitive due to perceptions of rivalry between the neighbouring countries.",Brazil,Latin America,Specific,Low,Custom,General
69,42,"If invited into a Brazilian home, it is customary to bring flowers or a small gift for the hostess as a gesture of appreciation, and a gift for the hostess’ children is also appreciated.",Brazil,Latin America,Specific,Low,Custom,General
70,43,"One must not make the inverted American ""OK"" hand sign, as it is considered an obscene gesture.",Brazil,Latin America,Specific,Low,Custom,General
71,44,"At weddings, one must not wear white, as this color is reserved for the bride.",Brazil,Latin America,Specific,Low,Custom,General
72,45,"It is customary to treat time flexibly and to prioritize people, relationships, and completing transactions over strict schedules.",Brazil,Latin America,Specific,Significant,Custom,General
73,47,"It is customary to be patient during negotiations, since Brazilians may take time to review details; one should not rush them or show impatience.",Brazil,Latin America,Specific,Moderate,Custom,General
74,1,It is customary to exchange red envelopes during Lunar New Year celebrations.,China,East Asia,Specific,Low,Custom,General
75,2,One must show deference to elders during toasts by standing to greet them and keeping one’s cup lower than theirs.,China,East Asia,Specific,Low,Custom,General
76,3,It is customary to wear bright-colored clothing during Lunar New Year and avoid wearing white.,China,East Asia,Specific,Low,Custom,General
77,4,One must not stick chopsticks upright into a bowl of rice.,China,East Asia,Specific,Low,Custom,General
78,5,It is customary to use kinship-based terms of address that reflect generational rank.,China,East Asia,Specific,Moderate,Custom,General
79,6,One should give and receive items with both hands in Chinese social etiquette.,China,East Asia,Specific,Low,Etiquette,General
80,7,It is customary to be punctual for first-time meetings in Chinese contexts.,China,East Asia,Specific,Low,Custom,General
81,8,It is customary to be more flexible about punctuality for casual gatherings with close relations.,China,East Asia,Specific,Low,Custom,General
82,9,It is customary to use invitations in formal settings.,China,East Asia,Specific,Low,Custom,General
83,10,It is customary to arrive without prior notice in non-formal contexts.,China,East Asia,Specific,Moderate,Custom,General
84,13,It is customary to bring a small gift when visiting friends.,China,East Asia,Specific,Low,Custom,General
85,14,It is customary for hosts to offer refreshments to guests.,China,East Asia,Specific,Low,Custom,General
86,15,It is customary for hosts to insist several times before accepting a guest’s refusal.,China,East Asia,Specific,Moderate,Custom,General
87,16,One should show deference to older people in dining etiquette.,China,East Asia,Specific,Low,Etiquette,Age_Group
88,17,It is customary to eat shared dishes placed at the center of the table with rice.,China,East Asia,Specific,Low,Custom,General
89,18,One should taste everything served when eating as a guest to be polite.,China,East Asia,Specific,Low,Etiquette,General
90,19,It is customary to leave a small amount of food on the plate to signal the host provided generously.,China,East Asia,Specific,Low,Custom,General
91,20,One must not put bones or seeds back into a rice bowl.,China,East Asia,Specific,Low,Custom,General
92,21,One must not leave chopsticks in a rice bowl after using them.,China,East Asia,Specific,Low,Custom,General
93,22,One should refill others’ drinks when their glasses need a refill.,China,East Asia,Specific,Low,Etiquette,General
94,23,It is customary to show thanks for drink-refilling courtesy by tapping two fingers on the table.,China,East Asia,Specific,Low,Custom,General
95,24,It is customary to follow an age-based eating order with elders eating first.,China,East Asia,Specific,Low,Custom,Age_Group
96,25,It is customary to hold a rice bowl close to the face when eating.,China,East Asia,Specific,Low,Custom,General
97,26,It is customary to cover the mouth when using a toothpick.,China,East Asia,Specific,Low,Custom,General
98,27,It is customary not to open gifts immediately or in the presence of the gift-giver.,China,East Asia,Specific,Low,Custom,General
99,28,It is customary to wrap gifts carefully and prefer elaborate wrapping.,China,East Asia,Specific,Low,Custom,General
100,29,It is customary to use red and gold gift wrapping for luck and avoid white blue or black wrapping.,China,East Asia,Specific,Low,Custom,General
101,30,One must not give expensive gifts that are difficult to reciprocate or match because it can cause loss of face.,China,East Asia,Specific,Moderate,Custom,General
102,31,It is customary to give sweets fruits flowers excluding white ones or spirits as gifts.,China,East Asia,Specific,Low,Custom,General
103,32,One must not give gifts that add up to four in number because the pronunciation is associated with death.,China,East Asia,Specific,Low,Custom,General
104,34,It is customary to avoid giving an odd number of gifts in Taiwanese contexts because odd numbers are considered unlucky.,China,East Asia,Specific,Low,Custom,General
105,36,One must not provoke discussion about the political status of Taiwan or Tibet.,China,East Asia,Specific,Moderate,Social_Norm,General
106,37,One must not draw blanket comparisons between China and Japan.,China,East Asia,Specific,Low,Social_Norm,General
107,39,One must not directly criticise someone point out mistakes or give insincere compliments because it causes loss of face.,China,East Asia,Specific,Moderate,Social_Norm,General
108,40,One should avoid presuming a person's opinion about Hong Kong’s relationship with China and avoid referring to Hong Kong as China if unclear.,China,East Asia,Specific,Moderate,Social_Norm,General
109,41,One must not correct a person’s self-identification as either Hong Konger or Chinese.,China,East Asia,Specific,Low,Social_Norm,General
110,42,One should avoid mentioning taboo or unlucky subjects such as failure poverty or death.,China,East Asia,Specific,Moderate,Social_Norm,General
111,43,It is customary not to assume Hong Kongers follow the same behavioural customs as those in China.,China,East Asia,Specific,Moderate,Custom,General
112,44,It is customary to treat red and gold as lucky colours in Chinese contexts.,China,East Asia,Specific,Low,Custom,General
113,45,One must not write in red because writing in red is taboo.,China,East Asia,Specific,Low,Custom,General
114,46,It is customary to treat four as unlucky and eight as very lucky in Chinese numerology.,China,East Asia,Specific,Low,Custom,General
115,47,It is customary to treat three eight and nine as lucky numbers because of their sound associations.,China,East Asia,Specific,Low,Custom,General
116,48,It is customary to omit floors containing the number 4 in some high-rise buildings because four sounds like death.,China,East Asia,Specific,Low,Custom,General
117,49,It is customary to treat seven as an unlucky number in some Chinese contexts.,China,East Asia,Specific,Low,Custom,General
118,50,One must not reuse items from offerings in daily life because it is considered disrespectful to spirits and ancestors.,China,East Asia,Specific,Low,Religious,General
119,51,One must not step over someone seated on the ground because it is considered disrespectful.,China,East Asia,Specific,Low,Custom,General
120,52,One must not use an ancestral altar as a common surface or for placing personal items.,China,East Asia,Specific,Low,Custom,General
121,53,It is customary to pay respect to ancestors by maintaining altars and making offerings especially during major festivals.,China,East Asia,Specific,Low,Custom,General
122,54,It is customary to treat guanxi as a system of mutual obligations reciprocity and trust.,China,East Asia,Specific,Moderate,Custom,General
123,55,It is customary in China to establish personal connection and trust through guanxi before proceeding with business dealings.,China,East Asia,Specific,Moderate,Custom,General
124,56,One must not bypass traditional evening prayers dedicated to ancestors in Tibetan contexts because it shows lack of respect.,China,East Asia,Specific,Low,Religious,General
125,58,It is customary for Tibetan Buddhists to integrate religious beliefs into filial piety practices.,China,East Asia,Specific,Moderate,Custom,Religious_Group
126,59,One should coordinate with an elder’s family or community before assisting the elder in contexts valuing communal filial piety.,China,East Asia,Specific,Moderate,Custom,Age_Group
127,60,One must practice xiao by obeying parents wishes caring for them in old age and continuing the family lineage.,China,East Asia,Specific,Moderate,Custom,General
128,62,One must not discuss themes of death or disappearance during Losar.,China,East Asia,Specific,Low,Custom,General
129,63,It is customary during Losar to focus on prayers rituals for good fortune and positive remembrance rather than mourning.,China,East Asia,Specific,Low,Custom,General
130,64,It is customary not to wash hair on Chinese New Year's Eve to avoid washing away good luck.,China,East Asia,Specific,Low,Custom,General
131,65,It is customary in some regions to leave cigarettes as offerings at a tombstone if the deceased smoked.,China,East Asia,Specific,Moderate,Custom,General
132,66,One must not leave physical offerings such as cigarettes at Tibetan sky burial sites because it conflicts with Tibetan Buddhist practices.,China,East Asia,Specific,Low,Religious,General
133,67,One must not record or photograph offerings and ceremonies during the Hungry Ghost Festival in Hokkien contexts.,China,East Asia,Specific,Low,Custom,General
134,68,It is customary during Qingming and the Hungry Ghost Festival to offer food to deceased ancestors as a way of paying respect.,China,East Asia,Specific,Low,Custom,General
135,69,It is customary in Fujian Hokkien contexts during the Hungry Ghost Festival to hold performances to entertain both the living and spirits.,China,East Asia,Specific,Low,Custom,General
136,70,It is customary during the Hungry Ghost Festival in Fujian Hokkien contexts to make offerings to appease wandering ghosts for community protection.,China,East Asia,Specific,Low,Custom,General
137,71,It is customary during Qingming to visit graves clean tombs offer food burn incense and make paper offerings.,China,East Asia,Specific,Low,Custom,General
138,72,It is customary during Qingming to release live birds as a symbol of releasing souls or bringing good luck.,China,East Asia,Specific,Low,Custom,General
139,73,It is customary in some Chinese contexts to prefer sons because of lineage and elder support roles.,China,East Asia,Specific,Significant,Custom,General
140,74,One must not give a green hat as a gift because it implies infidelity.,China,East Asia,Specific,Low,Custom,General
141,75,One must not give clocks as gifts because it is associated with death and farewells.,China,East Asia,Specific,Low,Custom,General
142,76,"In China, it is mandatory for educational institutions to engage in activities that promote national security awareness on April 15th.",China,East Asia,Specific,Low,Legal,General
143,77,"In China, it is mandatory to comply with anti-sedition laws that criminalize acts deemed to undermine state authority.",China,East Asia,Specific,Significant,Legal,General
144,79,"In China, it is mandatory for businesses to issue a fapiao for every transaction.",China,East Asia,Specific,Low,Legal,General
145,82,"In China, it is mandatory not to include numerals symbols or unusual nonstandard characters in children’s names for identification compatibility.",China,East Asia,Specific,Moderate,Legal,General
146,1,One must participate in the New Year's Eve tradition of creating a large 'doll' symbolizing the old year and setting it off with firecrackers at midnight.,Colombia,Latin America,Specific,Low,Custom,General
147,2,It is customary for individuals to celebrate the Black and White Carnival by painting their faces black on January 5th and white on January 7th.,Colombia,Latin America,Specific,Significant,Custom,General
148,3,One must provide candy to children during the Ghost Festival on October 31st to avoid being labeled as stingy.,Colombia,Latin America,Specific,Low,Custom,General
149,4,"It is customary for individuals to participate in the Barranquilla Carnival, the largest traditional folk festival in Colombia.",Colombia,Latin America,Specific,Low,Custom,General
150,5,One must maintain virginity before marriage to avoid social criticism.,Colombia,Latin America,Specific,Significant,Social_Norm,General
151,6,It is customary for individuals to be served aromatic coffee when visiting a Colombian household.,Colombia,Latin America,Specific,Low,Custom,General
152,7,"One must not refuse to drink the remaining alcohol in the Menak chess game, as it is considered very rude.",Colombia,Latin America,Specific,Low,Custom,General
153,8,"It is customary for individuals to participate in the National Beauty Pageant on November 11th, a significant cultural event in Colombia.",Colombia,Latin America,Specific,Low,Custom,General
154,9,"It is customary for individuals to participate in the Coffee Queen Festival, a national beauty contest held in Colombia.",Colombia,Latin America,Specific,Low,Custom,General
155,10,It is customary for individuals to celebrate the International Labor Day with organized activities during the day and cultural events at night.,Colombia,Latin America,Specific,Low,Custom,General
156,11,It is customary for individuals to celebrate Christmas by decorating evergreen trees and exchanging gifts.,Colombia,Latin America,Specific,Low,Custom,General
157,12,"It is customary for individuals to participate in the Cartagena International Film Festival, an annual international film event.",Colombia,Latin America,Specific,Low,Custom,General
158,13,"It is customary for individuals to participate in the Flower Carnival in Medellín, a grand gathering to showcase flowers from various regions.",Colombia,Latin America,Specific,Low,Custom,General
159,14,"It is customary for individuals to participate in the National Marine Festival in Santa Marta, which includes a grand military parade and beauty contests.",Colombia,Latin America,Specific,Low,Custom,General
160,15,"It is customary for individuals to celebrate Independence Day on July 20th, commemorating Colombia's independence from Spanish colonial rule.",Colombia,Latin America,Specific,Low,Custom,General
161,16,"It is customary for individuals to celebrate National Day on August 7th, marking Colombia's official independence.",Colombia,Latin America,Specific,Low,Custom,General
162,17,It is customary for individuals to celebrate the International Orchid Exhibition in Medellín.,Colombia,Latin America,Specific,Low,Custom,General
163,18,"It is customary for individuals to celebrate the Coffee Fair in Manizales, the largest coffee market in Colombia.",Colombia,Latin America,Specific,Low,Custom,General
164,19,"It is customary for individuals to celebrate Children's Day on June 6th, where children dress up and play in public spaces.",Colombia,Latin America,Specific,Low,Custom,Age_Group
165,20,"It is customary for individuals to participate in the Cali Fair, a traditional event featuring bullfighting and dancing.",Colombia,Latin America,Specific,Low,Custom,General
166,21,It is customary for individuals to celebrate the Day of Natural Protection on November 15th.,Colombia,Latin America,Specific,Low,Custom,General
167,22,"It is customary for individuals to participate in the traditional poetry contests, especially in Manizales.",Colombia,Latin America,Specific,Low,Custom,General
168,23,"It is customary for individuals to celebrate Farmer's Day on June 3rd, a traditional festival for Colombian farmers.",Colombia,Latin America,Specific,Low,Custom,General
169,24,It is customary for individuals to celebrate the Elderly Day on August 14th.,Colombia,Latin America,Specific,Low,Custom,General
170,25,"In the Andean region of Colombia, the familial structure is strongly influenced by indigenous and Spanish colonial heritage, emphasizing communal living and the integration of the elderly in daily family and community activities. Elders are often seen as the keepers of tradition and wisdom, playing a significant role in community decision-making and cultural preservation.",Colombia,Latin America,Specific,Moderate,Custom,General
171,26,"Introducing non-Afro-Colombian dances into the celebration of ""La Noche de San Juan"" on the Pacific coast, which is a time specifically dedicated to preserving and showcasing Afro-Colombian cultural expressions through music and dance.",Colombia,Latin America,Specific,Low,Custom,Ethnic_Group
172,27,"Organizing a leisurely, food-centric tour on Holy Thursday disregards the traditional practice of visiting seven churches for prayer and reflection during this solemn day of Lent in Colombia.",Colombia,Latin America,Specific,Low,Religious,General
173,28,"Using playing cards for fortune-telling instead of respecting the traditional practice of ""La Lectura del Tabaco,"" which is a significant spiritual and cultural ritual involving the reading of tobacco leaves, not playing cards, reflecting the syncretism of Catholic, indigenous, and African spiritual practices in the region.",Colombia,Latin America,Specific,Low,Custom,General
174,29,"Using electronic devices such as drones during the Festival de las Luces, which is a time of reverence and communal unity, can be seen as disruptive and disrespectful to the tradition's religious and cultural significance.",Colombia,Latin America,Specific,Low,Custom,General
175,30,"First Communions in Colombia are significant religious and social events, often celebrated with as much grandeur as weddings. Families invest considerable effort and resources into organizing large gatherings, highlighting the importance of Catholic sacraments in marking life's milestones.",Colombia,Latin America,Specific,Low,Religious,General
176,31,"The use of non-biodegradable materials like balloons and plastic confetti contradicts the indigenous practice of respecting and protecting nature, which is an essential part of the compadrazgo's role in introducing children to the interconnectedness of all living beings.",Colombia,Latin America,Specific,Low,Custom,General
177,32,"Beyond the role of godparents, the system of ""compadrazgo"" (co-parenthood) creates strong social bonds between families, extending beyond religious ceremonies to include lifelong mutual support and respect. This system strengthens community ties and emphasizes the importance of extended familial networks.",Colombia,Latin America,Specific,Low,Custom,General
178,34,"When a couple decides to marry or live together, it's customary in Colombia for the man to be formally presented to the woman's family. This event, known as ""la presentación,"" involves a meal and is a crucial step in acknowledging and formalizing the relationship.",Colombia,Latin America,Specific,Low,Custom,General
179,35,"Incorporating ancestral blessings, native language, and references to the earth and community in ""El Brindis"" at weddings to highlight the spiritual aspect of the union.",Colombia,Latin America,Specific,Low,Custom,General
180,37,Using viche casually as a novelty (e.g. tourist party shot) rather than respecting its status in Afro-Colombian ceremonial contexts is seen as disrespectful.,Colombia,Latin America,Specific,Low,Custom,General
181,38,Commercialising or altering traditional Arhuaca mochila symbols and using them purely as fashion accessories without acknowledgment of the weavers’ role and meaning is considered de-valuing Indigenous culture.,Colombia,Latin America,Specific,Low,Custom,General
182,39,It is considered rude in Colombia to arrive at a social gathering or family home without greeting each person individually and making small talk; bypassing greetings may be interpreted as cold or disrespectful.,Colombia,Latin America,Specific,Low,Etiquette,General
183,40,"It is customary to participate in ""amigo secreto"" (a Secret Santa–style exchange) in school or workplace groups, and refusing to participate is considered rude.",Colombia,Latin America,Specific,Low,Custom,General
184,41,"One must greet others with a kiss on the cheek in contexts where this is expected, especially when greeting an elderly person, because not doing so is considered rude.",Colombia,Latin America,Specific,Low,Custom,General
185,42,"It is customary for candidates for high public office to present themselves as Christian, since publicly stating otherwise can be highly controversial.",Colombia,Latin America,Specific,Moderate,Custom,General
186,43,"It is customary during Lent (""La Cuaresma"") to fast and abstain from eating meat on Fridays as part of Catholic reflection and sacrifice.",Colombia,Latin America,Specific,Low,Custom,General
187,44,"One must not incorporate elements from popular Western culture that are not reflective of indigenous and Catholic syncretism into First Communion ceremonies, as this may be viewed as inappropriate for the tradition.",Colombia,Latin America,Specific,Low,Custom,General
188,45,"It is customary to celebrate First Communion as a major religious and social milestone with large, elaborate gatherings that families invest significant effort and resources into organizing.",Colombia,Latin America,Specific,Low,Custom,General
189,46,"One must not wear costumes or masks that are not traditional or specific to the Festival de San Pacho, as doing so may be seen as disrespectful or out of place.",Colombia,Latin America,Specific,Low,Custom,General
190,48,"It is customary to treat coffee as a symbol of national identity and pride, especially in the Coffee Triangle.",Colombia,Latin America,Specific,Low,Custom,General
191,49,"It is customary to incorporate traditional instruments, languages, and ceremonial aspects into bambuco dance performances during indigenous festivals and rituals.",Colombia,Latin America,Specific,Low,Custom,General
192,50,It is customary to participate in the Yurupary Festival by learning and engaging in its rituals and dances and understanding its legends.,Colombia,Latin America,Specific,Low,Custom,General
193,51,"It is customary in many towns to perform a serenade to the Virgin Mary on the eve of her feast day, involving music, singing, and sometimes processions.",Colombia,Latin America,Specific,Low,Custom,General
194,52,"It is customary at Colombian weddings for a close family member or friend to deliver a heartfelt toast (""El Brindis"") honoring the newlyweds and expressing support and good wishes.",Colombia,Latin America,Specific,Low,Custom,General
195,53,"It is customary to treat the National Beauty Pageant in Cartagena as a major cultural event that includes cultural displays, parades, and charitable activities, reflecting regional pride and social responsibility.",Colombia,Latin America,Specific,Low,Custom,General
196,56,"One must respect Indigenous and Afro-Colombian community autonomy over their territories, including their management of environmental resources and use of their own legal systems.",Colombia,Latin America,Specific,Significant,Legal,Ethnic_Group
197,58,One must respect the territorial autonomy of Indigenous peoples in the Sierra Nevada de Santa Marta to govern and manage lands according to cultural and spiritual practices.,Colombia,Latin America,Specific,Moderate,Legal,Ethnic_Group
198,62,It is customary after finishing a meal to leave a small portion of food on the plate to indicate being full.,Colombia,Latin America,Specific,Low,Custom,General
199,64,It is customary to mark a girl’s 15th birthday as an important milestone and to give a gold gift on that day.,Colombia,Latin America,Specific,Low,Custom,General
200,66,"One must not refuse an invitation to a Colombian’s home without giving a proper reason or suggesting an alternative, as it may be interpreted as disrespect and lack of interest in friendship.",Colombia,Latin America,Specific,Low,Etiquette,General
201,67,One must not beckon someone using only the index finger in Colombian social settings; one should wave with the whole hand or with the palm down instead.,Colombia,Latin America,Specific,Low,Custom,General
